date,month,quarter,season,doy,global_lux,direct_lux,diffuse_lux,pressure,snow,temp,temp_max,temp_min,ts,dew_point,wind_speed,wind_direction,uv_index,albedo,optical_depth_55,optical_depth_84,clearness,precip,humidity_specific,humidity_relative,cloud_amt,cloud_depth,water
2012-09-08,Sep,3,Summer,252,33797.59,38265.15,15955.07,98.75,0,20.65,25.33,14.62,21.11,15.19,2.25,326.88,1.32,0.14,0.32,0.21,0.71,7.13,11.17,73.06,54.91,16.69,2.66
2012-09-09,Sep,3,Summer,253,52842.67,93820.17,9788.66,99.18,0,19.06,26.98,11.65,19.77,11.55,1.16,237.81,1.71,0.15,0.16,0.09,0.73,0,8.61,66.25,3.53,NA,1.59
2012-09-10,Sep,3,Summer,254,52662.2,90091.66,10182.15,99.51,0,19.44,27.39,12.15,20.09,12.65,1.16,46.62,1.68,0.15,0.12,0.08,0.73,0.01,9.22,68.75,2.09,NA,1.53
2012-09-11,Sep,3,Summer,255,50712.84,89860.28,13437.3,99.68,0,21.25,29.62,12.93,21.73,13.68,1.12,154.69,1.66,0.16,0.09,0.06,0.73,0,9.83,66.12,7.8,2.85,1.9
2012-09-12,Sep,3,Summer,256,38600.72,33377.98,21729.49,99.85,0,22.07,28.91,16.12,22.38,14.4,1.48,168.81,1.41,0.14,0.28,0.18,0.7,0.01,10.31,65.06,68.12,5.36,2.12
2012-09-13,Sep,3,Summer,257,44299.74,48377.35,19688.98,99.88,0,22.64,29.52,17.26,23.12,14.56,1.24,141.69,1.49,0.12,0.43,0.27,0.67,0.01,10.38,63.12,41.64,2.82,2.46
2012-09-14,Sep,3,Summer,258,40323.77,35973.13,22548.54,99.84,0,21.8,27.94,15.85,22.26,14.65,0.91,99.25,1.38,0.14,0.33,0.21,0.69,0.54,10.5,66.5,44.86,2.98,2.74
2012-09-15,Sep,3,Summer,259,34583.3,29403.77,18906.61,99.68,0,21.37,26.62,16.78,22.02,16.51,1.18,83.94,1.41,0.14,0.24,0.16,0.7,0.12,11.78,75.75,81.69,6.09,3.53
2012-09-16,Sep,3,Summer,260,30821.1,16322.44,21714.91,99.31,0,20.94,24.4,17.55,20.94,17.3,0.7,65.69,1.28,0.14,0.3,0.2,0.68,5.22,12.51,79.94,93.9,9.09,3.77
2012-09-17,Sep,3,Summer,261,9926.07,3798.52,8261.96,98.7,0,20.63,22.51,19.08,20.46,19.74,1.16,150.88,0.41,0.12,0.57,0.38,0.64,50.24,14.65,94.62,99.66,27.7,4.69
